"","ideology","norm_news","norm_branches","norm_officials","norm_facts","egal_equalop","egal_worryless","egal_notbigprob","egal_fewerprobs","moraltrad_adjmoral","moraltrad_moretrad","auth_childind","auth_childcur","auth_childobed","auth_childconsid","education","sex","interest","econ_perc","age"
"1342",4,4,4,4,3,2,5,5,2,4,2,2,2,1,1,"Less than high school","Male","Very much interested","Much worse off","65+"
"1343",NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Male","Very much interested","Somewhat worse off","65+"
"1344",6,3,4,4,4,3,2,4,3,4,1,2,1,2,1,"Less than high school","Female","Very much interested","Somewhat better off","65+"
"1345",4,5,5,5,5,2,3,4,2,2,4,2,2,2,1,"Less than high school","Female","Very much interested","About the same",NA
"1346",2,5,5,5,5,1,4,5,2,1,4,1,1,2,1,"Less than high school","Male","Very much interested","About the same","30-49"
"1347",NA,4,5,5,3,3,3,3,3,3,4,2,1,2,2,"Less than high school","Male","Somewhat interested","About the same","30-49"
"1348",4,5,5,5,4,1,4,4,4,4,4,1,1,2,1,"Less than high school","Male","Very much interested","About the same","50-64"
"1349",2,5,5,4,4,2,4,5,2,3,5,1,1,2,1,"Less than high school","Male","Very much interested","Somewhat worse off","65+"
"1350",1,5,5,5,5,1,5,5,1,5,3,1,1,2,1,"Less than high school","Male","Very much interested","Somewhat worse off","65+"
"1351",3,5,5,5,5,1,5,5,1,2,3,1,1,2,1,"Less than high school","Male","Very much interested","Somewhat better off","30-49"
"1352",4,5,5,5,5,1,5,5,2,2,5,1,1,2,1,"Less than high school","Female","Very much interested","Somewhat worse off","50-64"
"1353",7,4,5,5,4,2,3,2,3,5,1,2,2,1,1,"Less than high school","Female","Very much interested","About the same","65+"
"1354",NA,2,4,5,4,4,3,4,1,1,4,1,1,2,1,"Less than high school","Female","Somewhat interested","About the same","30-49"
"1355",7,1,3,4,3,3,1,3,5,3,2,2,2,2,1,"Less than high school","Female","Very much interested","Somewhat better off","50-64"
"1356",4,3,5,5,5,1,5,5,1,3,3,2,2,1,2,"Less than high school","Female","Somewhat interested","Somewhat worse off","30-49"
"1357",NA,5,3,2,3,1,2,2,1,3,1,2,2,1,2,"Less than high school","Female","Very much interested","Somewhat better off","65+"
"1358",5,5,5,5,5,2,3,4,2,2,2,1,1,2,1,"Less than high school","Female","Very much interested","About the same","65+"
"1359",4,4,4,4,4,1,5,1,2,3,3,2,2,1,2,"Less than high school","Male","Very much interested","About the same","30-49"
"1360",5,3,4,5,3,5,1,2,4,2,5,1,1,2,1,"Less than high school","Female","Very much interested","Somewhat better off","30-49"
"1361",5,4,5,5,5,2,3,2,2,1,4,2,1,2,1,"Less than high school","Male","Very much interested","Much better off","18-29"
"1362",5,2,4,5,4,2,4,2,1,3,2,2,2,2,2,"Less than high school","Male","Somewhat interested","About the same","30-49"
"1363",6,3,5,5,3,1,3,3,2,5,1,2,1,1,1,"Less than high school","Female","Somewhat interested","About the same","18-29"
"1364",3,5,5,5,4,2,4,3,2,4,2,2,1,2,1,"Less than high school","Male","Very much interested","Much better off","65+"
"1365",4,5,5,5,5,1,5,5,1,5,1,2,2,1,1,"Less than high school","Male","Very much interested","About the same","65+"
"1366",6,1,3,5,4,3,1,3,2,5,1,2,2,2,1,"Less than high school","Female","Very much interested","About the same","30-49"
"1367",5,4,5,5,4,1,1,5,2,2,2,2,1,2,1,"Less than high school",NA,"Somewhat interested","About the same","18-29"
"1368",4,4,5,5,5,2,1,4,5,3,2,2,2,2,1,"Less than high school","Male","Not much interested","About the same",NA
"1369",4,4,4,4,2,4,2,2,3,2,2,1,1,2,1,"Less than high school","Male","Somewhat interested","Somewhat worse off","30-49"
"1370",3,3,5,4,5,1,4,4,2,4,5,2,1,2,1,"Less than high school","Female","Somewhat interested","About the same","50-64"
"1371",5,3,4,5,5,2,1,4,3,5,3,1,2,1,1,"Less than high school","Female","Somewhat interested","Much better off","30-49"
"1372",5,4,5,5,4,2,2,4,2,4,1,2,2,2,1,"Less than high school","Female","Very much interested","Somewhat better off","65+"
"1373",7,2,5,5,5,5,2,2,4,5,1,2,1,2,1,"Less than high school","Female","Not much interested","About the same","50-64"
"1374",2,5,5,5,5,1,1,1,1,1,1,2,2,1,2,"Less than high school","Male","Very much interested","About the same","65+"
