"","ideology","norm_news","norm_branches","norm_officials","norm_facts","egal_equalop","egal_worryless","egal_notbigprob","egal_fewerprobs","moraltrad_adjmoral","moraltrad_moretrad","auth_childind","auth_childcur","auth_childobed","auth_childconsid","education","sex","interest","econ_perc","age"
"71",2,5,5,5,1,1,4,4,4,1,3,1,1,2,1,7,2,1,3,74
"72",3,3,4,5,3,3,3,3,3,3,1,2,2,1,2,4,2,1,3,61
"73",NA,2,4,5,5,1,4,4,4,4,2,2,2,1,2,3,2,1,4,67
"74",NA,4,4,4,4,2,3,3,2,2,2,2,2,1,1,2,2,1,3,60
"75",6,3,4,5,4,1,4,4,2,2,1,2,1,2,2,3,1,1,3,-9
"76",NA,4,4,3,4,4,1,3,4,3,2,2,2,1,1,3,1,2,4,21
"77",4,4,4,4,4,1,4,4,1,2,2,2,2,1,2,1,2,2,4,49
"78",2,5,5,5,5,1,5,2,1,4,1,2,1,2,1,7,1,1,3,80
"79",4,4,5,5,5,1,4,3,4,3,1,2,2,2,1,3,1,3,2,70
"80",5,4,4,5,5,1,5,4,3,4,1,2,2,1,2,2,2,2,2,70
"81",5,3,5,5,5,2,2,2,4,3,1,1,1,2,1,6,1,2,1,72
"82",7,4,5,5,5,1,1,4,4,5,1,2,2,1,1,3,2,1,2,78
"83",2,4,4,5,4,1,5,5,1,5,1,2,2,2,1,6,2,2,3,43
"84",NA,5,3,5,4,1,5,4,2,5,4,2,2,2,2,3,2,1,2,45
"85",3,3,5,5,4,1,5,5,1,1,5,2,1,2,1,6,2,2,4,44
"86",4,4,4,5,3,1,5,5,1,3,4,2,2,2,2,4,2,1,3,50
"87",4,2,3,4,4,2,3,4,2,2,2,2,2,1,1,7,2,3,3,-9
"88",3,3,4,5,5,2,4,4,2,2,4,2,1,2,1,6,2,2,3,33
"89",NA,2,5,5,5,3,2,3,2,2,3,2,2,1,2,2,2,3,3,55
"90",5,2,3,4,3,4,1,2,2,2,2,1,2,1,2,6,2,2,3,28
"91",5,2,5,5,2,4,2,3,5,3,2,2,2,1,1,7,2,1,2,34
"92",2,3,5,5,5,2,4,4,1,2,4,1,1,2,1,6,2,3,3,24
"93",7,1,4,5,3,2,3,2,3,4,1,2,2,1,1,4,2,1,4,26
"94",3,5,5,4,4,2,4,4,1,2,2,2,1,2,1,2,1,1,3,75
"95",5,2,2,4,4,4,2,3,3,3,2,2,2,1,2,6,1,1,3,61
"96",6,4,4,5,4,1,2,2,1,5,1,2,1,1,1,7,2,1,2,80
"97",3,5,5,5,5,1,5,5,1,2,1,2,1,2,1,3,1,1,2,58
"98",4,3,5,5,5,1,5,5,1,5,5,2,2,2,1,6,2,1,4,50
"99",3,5,5,5,5,1,5,5,1,3,5,1,1,2,1,6,2,1,3,76
"100",4,3,3,4,3,3,2,3,2,4,2,1,1,2,1,3,2,2,3,80
"101",2,2,4,4,4,1,1,5,1,5,5,2,2,1,1,2,2,2,2,48
"102",3,3,3,3,3,5,5,5,5,5,5,2,2,1,1,2,2,3,4,61
"103",2,2,4,5,5,1,5,5,2,2,5,2,1,2,1,7,2,1,3,45
"104",6,3,2,4,3,3,1,3,2,5,1,2,2,1,1,4,2,1,2,37
"105",6,5,5,5,5,1,1,1,4,2,1,1,1,2,1,6,1,1,2,36
"106",2,5,5,5,4,1,5,5,1,2,4,2,2,2,1,1,2,1,3,80
"107",7,4,5,5,5,2,1,2,2,5,1,2,2,1,2,2,2,2,2,66
"108",5,1,4,4,4,1,3,3,2,3,2,2,1,1,1,2,2,1,3,80
"109",6,3,4,3,2,3,3,3,4,5,2,1,1,2,1,5,1,2,3,66
"110",4,4,4,4,3,1,3,4,2,2,3,1,2,2,1,3,2,2,4,60
"111",6,5,5,5,4,1,2,3,3,3,1,2,2,1,2,NA,1,1,3,34
"112",6,3,3,4,3,1,1,2,5,3,1,1,1,2,1,8,1,1,3,80
"113",4,3,4,5,4,2,2,3,1,3,1,2,2,2,1,2,1,2,3,71
"114",6,3,4,5,4,1,4,4,2,2,2,2,2,2,1,3,1,1,3,72
"115",3,4,4,3,4,3,3,2,4,2,2,2,2,2,2,6,1,2,2,57
"116",4,4,4,4,3,2,2,3,3,3,3,1,2,2,2,7,2,1,3,36
"117",4,5,5,5,4,1,5,5,1,5,1,2,2,1,1,5,2,2,4,61
"118",6,1,5,5,3,1,1,1,1,2,1,2,2,1,1,7,1,1,1,58
"119",NA,2,4,4,3,1,5,3,2,2,2,1,2,1,1,3,1,2,3,30
"120",6,4,4,5,4,1,2,3,3,3,3,2,2,1,2,7,1,1,1,80
"121",6,3,4,5,4,1,1,2,3,4,1,1,1,2,1,7,1,1,2,-9
"122",NA,4,4,4,4,1,4,5,3,1,3,1,1,1,1,3,1,2,3,72
"123",1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,38
"124",NA,2,3,4,4,1,4,4,1,2,3,2,2,1,1,3,1,2,3,60
"125",5,4,4,4,4,1,1,1,2,4,5,2,2,1,2,2,2,2,3,52
"126",4,1,4,5,5,1,4,4,3,5,2,2,2,2,1,2,2,2,4,40
"127",2,5,5,5,4,1,5,5,1,1,5,1,2,2,1,6,2,2,1,23
"128",6,4,4,4,4,3,3,3,3,3,2,2,2,1,2,2,1,1,3,54
"129",3,5,5,5,5,1,5,5,1,4,2,1,1,2,1,7,2,1,3,70
"130",NA,2,4,5,4,1,3,3,5,2,3,1,2,1,1,3,2,3,5,23
"131",2,5,5,5,5,1,4,4,2,2,2,2,2,1,2,8,1,2,3,66
"132",6,4,4,5,5,2,2,2,2,5,2,2,2,2,1,3,1,2,3,60
"133",6,3,5,4,4,5,4,4,2,5,1,2,2,1,1,6,2,1,3,50
"134",6,NA,4,5,5,4,2,3,4,5,1,2,2,2,2,6,1,1,1,62
"135",2,4,5,5,4,2,5,5,1,1,4,1,1,2,1,8,2,1,2,37
"136",6,NA,5,5,5,2,4,5,2,1,2,NA,NA,NA,1,2,2,1,2,73
"137",5,5,5,5,4,1,1,3,3,5,1,1,2,2,1,6,1,1,2,52
"138",7,4,5,5,5,2,2,4,2,5,1,2,2,2,1,7,2,1,3,76
"139",5,5,5,5,5,2,5,5,1,5,3,2,2,1,1,3,1,2,5,73
"140",3,4,4,3,3,2,2,4,3,3,3,1,1,2,1,6,2,3,3,42
"141",4,1,3,3,3,3,3,3,3,3,3,2,1,1,1,2,1,2,3,67
"142",4,4,4,4,4,5,3,3,2,2,1,2,1,1,1,4,1,1,2,64
"143",NA,5,5,5,5,1,2,5,2,3,1,2,2,2,1,4,2,3,4,55
"144",2,4,5,5,4,1,5,5,1,2,5,1,1,2,1,7,2,2,1,29
"145",6,3,3,5,3,1,1,5,1,1,2,1,2,1,2,3,2,1,3,34
"146",4,4,5,5,5,2,4,4,2,1,2,2,1,2,2,7,2,2,2,45
"147",1,5,5,5,5,1,5,5,1,1,5,1,1,2,1,8,1,1,1,40
"148",4,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,28
"149",4,5,5,5,4,1,4,4,2,2,2,2,2,1,1,3,1,2,3,49
"150",2,5,5,5,5,3,4,4,2,1,3,2,1,2,1,7,1,2,2,37
"151",6,4,5,5,4,4,2,4,4,4,1,2,1,2,2,3,2,1,3,80
"152",3,3,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,55
"153",3,2,4,4,3,2,2,3,3,5,1,2,2,1,1,1,2,1,3,80
"154",NA,1,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,3,63
"155",6,5,4,5,4,2,1,4,4,5,2,1,1,2,1,3,2,1,3,66
"156",5,2,3,3,3,2,4,4,3,4,2,2,1,1,1,6,1,2,4,55
"157",6,3,4,5,4,1,2,4,2,3,2,2,2,1,1,3,1,1,3,65
"158",2,5,5,5,5,1,5,5,1,3,4,2,1,2,1,7,2,1,3,69
"159",7,4,4,5,4,3,3,2,2,5,1,2,2,1,1,2,2,1,5,70
"160",NA,4,2,5,2,1,5,4,2,3,3,2,2,1,2,2,1,2,1,64
"161",7,1,3,4,1,5,1,1,5,5,1,2,2,2,1,2,1,2,3,62
"162",6,5,5,4,4,1,1,3,1,5,1,2,NA,NA,1,7,1,1,3,50
"163",NA,5,5,3,4,1,3,3,4,4,1,2,2,1,2,2,2,2,3,46
"164",2,5,5,5,3,1,5,5,1,1,3,1,1,2,1,NA,2,1,3,67
"165",2,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,3,43
"166",2,5,5,5,5,2,4,2,3,1,4,1,1,2,1,6,1,1,3,30
"167",6,3,4,4,3,3,3,3,3,5,1,2,2,1,1,2,1,3,3,80
"168",4,5,5,5,3,1,5,3,3,2,4,1,1,2,1,2,2,1,4,58
"169",4,5,5,5,5,5,1,1,2,5,2,1,1,2,1,3,1,1,3,29
"170",4,3,4,5,3,1,3,4,2,3,1,2,2,1,2,3,1,2,3,71
"171",6,5,5,5,4,2,2,2,3,3,2,1,1,2,1,7,1,2,3,69
"172",2,5,5,5,5,1,5,5,4,2,3,1,1,2,1,8,1,1,1,80
"173",2,5,5,5,5,1,5,5,1,2,3,1,1,2,1,7,1,1,2,28
"174",NA,2,4,5,4,2,4,4,2,2,3,2,2,1,1,6,2,2,4,22
"175",2,5,5,5,4,1,5,5,1,2,2,1,1,2,1,7,2,1,2,72
"176",4,4,4,4,2,3,2,4,3,3,3,1,1,2,1,6,1,1,4,63
"177",4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,3,64
"178",1,5,5,5,5,1,5,5,1,2,4,1,1,2,1,3,2,1,4,61
"179",NA,1,5,5,5,1,3,2,1,2,1,1,2,2,2,2,1,1,2,60
"180",6,1,4,3,4,4,2,2,4,5,1,2,2,1,2,2,1,3,3,48
"181",6,5,5,5,4,1,1,3,5,5,3,1,1,2,1,7,2,1,4,69
"182",4,2,4,5,4,2,2,2,3,2,3,2,2,1,1,7,2,1,3,80
"183",6,2,5,5,5,5,1,2,4,5,1,2,2,1,1,3,2,2,3,77
"184",4,5,5,5,4,1,4,5,2,2,5,2,2,1,1,6,2,1,3,48
"185",3,1,5,5,4,1,5,4,2,1,4,2,2,2,1,3,2,1,3,47
"186",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,5,43
"187",NA,4,4,5,4,2,4,3,4,3,2,1,1,2,1,2,2,3,3,71
"188",3,5,5,5,4,1,3,4,2,1,5,1,1,2,1,2,1,2,2,31
"189",2,4,5,5,3,1,5,5,1,4,2,1,1,2,1,7,2,1,3,78
"190",4,4,4,5,4,1,4,2,1,3,3,1,2,2,1,7,2,1,4,76
"191",6,3,4,4,3,4,2,3,4,3,1,2,2,1,2,3,2,2,2,46
"192",NA,3,3,5,4,2,2,3,3,3,3,2,2,1,2,2,2,3,4,31
"193",4,3,3,3,3,1,5,5,5,3,2,2,2,1,2,5,2,3,3,29
"194",6,4,4,3,5,3,5,2,1,2,1,2,2,1,2,4,2,2,3,69
"195",1,3,4,5,4,1,5,5,1,1,5,2,1,2,1,2,2,3,2,34
"196",NA,NA,5,5,3,2,2,3,4,4,3,2,2,2,1,5,1,3,1,23
"197",NA,5,5,5,5,1,5,5,3,2,2,2,2,1,1,7,1,3,3,61
"198",2,5,5,5,5,2,5,5,1,2,3,1,1,2,1,7,1,1,2,57
"199",7,1,4,4,4,5,2,2,5,5,2,2,2,2,1,8,2,3,2,33
"200",4,5,5,5,5,1,3,5,3,5,2,1,1,2,1,6,2,3,3,-9
"201",3,5,5,5,4,1,5,4,2,3,3,1,2,1,1,7,1,1,3,71
"202",6,3,5,5,5,3,3,4,4,5,2,2,2,2,1,6,1,1,2,50
"203",4,3,3,3,4,1,2,1,1,4,1,2,2,1,2,2,2,2,3,71
"204",4,3,4,4,3,1,2,3,2,2,2,2,2,2,1,NA,2,2,3,70
"205",5,1,3,3,3,1,5,5,1,5,3,2,1,1,1,2,1,2,3,22
"206",3,1,4,4,4,1,1,3,2,3,3,2,2,2,1,5,1,3,2,24
"207",NA,3,4,4,3,1,5,5,1,1,1,2,2,1,2,5,2,2,3,40
"208",2,5,5,5,5,3,3,3,3,3,3,1,1,1,1,6,1,2,2,49
"209",4,5,5,5,5,1,5,4,2,5,2,2,1,2,2,7,2,1,3,56
"210",6,3,4,4,4,1,1,2,3,4,2,2,2,1,2,2,1,1,2,59
"211",7,1,5,5,5,1,4,4,1,2,1,2,2,1,1,4,1,1,1,63
"212",2,5,5,5,4,1,4,3,2,5,3,1,1,2,1,7,1,1,3,73
"213",3,5,5,5,2,1,4,5,1,3,4,2,1,2,1,6,2,1,3,56
"214",4,5,5,5,4,3,3,4,4,4,2,1,2,2,1,6,1,1,1,41
"215",NA,4,4,5,3,3,2,3,2,2,4,2,1,2,1,3,2,3,3,48
"216",NA,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,80
"217",1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,36
"218",4,3,4,3,3,4,4,3,4,5,2,2,2,2,1,6,2,1,1,64
"219",6,4,4,5,5,3,2,2,3,3,1,2,2,2,1,3,1,3,1,28
"220",3,3,3,3,3,5,5,3,3,NA,3,1,1,2,1,3,1,1,2,21
"221",5,4,4,4,4,2,4,4,2,4,1,1,2,2,1,3,1,2,2,61
"222",2,5,4,5,4,1,5,4,1,2,4,2,1,1,2,3,1,1,3,65
"223",5,2,3,4,2,2,4,4,2,3,2,2,2,1,2,3,2,3,3,35
"224",NA,5,5,5,3,2,3,4,2,3,5,1,1,2,2,6,1,2,2,31
"225",NA,3,3,3,3,1,3,5,2,2,2,2,2,1,2,3,2,3,2,24
"226",4,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2,2,2,4,37
"227",4,3,4,4,3,2,2,2,4,4,2,2,2,2,1,2,1,1,5,53
"228",2,5,4,5,4,1,5,5,1,2,5,1,1,2,1,6,2,2,5,34
"229",4,5,5,5,5,1,5,2,2,1,4,2,2,1,1,7,1,1,3,60
"230",4,5,5,5,5,1,5,5,1,2,2,2,1,1,1,4,1,1,3,66
"231",NA,1,4,5,3,1,1,5,1,1,1,2,2,1,2,2,1,1,1,70
"232",4,1,5,5,2,1,4,4,2,4,5,2,2,1,1,7,2,1,3,51
"233",4,1,4,5,5,4,3,3,1,5,5,1,1,1,1,2,2,2,3,44
"234",4,5,5,5,5,1,4,5,4,5,1,2,1,1,1,8,2,2,3,60
"235",7,3,5,5,5,1,5,3,5,3,1,2,2,2,1,3,1,1,3,34
"236",6,4,5,4,4,3,3,3,4,4,1,2,2,1,1,3,1,1,3,53
"237",2,5,5,5,4,1,5,5,2,1,5,1,2,2,1,6,2,1,3,37
"238",4,3,3,4,4,2,2,4,2,2,2,2,2,2,1,5,2,2,3,56
"239",2,4,3,5,4,2,5,3,1,2,2,2,2,1,1,3,2,2,3,46
"240",3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,3,38
"241",3,3,4,3,4,1,1,5,1,2,2,2,1,1,2,1,2,1,3,63
"242",2,4,4,4,5,2,4,4,1,2,3,1,1,1,1,6,1,3,5,29
"243",NA,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,41
"244",4,5,5,5,5,3,3,5,5,5,2,2,1,2,1,6,1,2,4,54
"245",7,3,3,5,4,2,1,2,4,5,1,2,2,1,1,6,2,1,3,79
"246",4,5,3,5,3,1,2,5,2,2,2,2,1,1,1,3,2,2,5,31
"247",6,1,5,5,5,2,2,2,5,4,2,2,2,2,1,4,1,1,1,50
"248",2,5,5,5,5,1,5,5,1,5,5,1,1,2,1,6,2,1,4,64
"249",5,5,5,5,5,1,3,4,2,2,3,2,NA,2,1,NA,2,2,4,80
"250",4,4,4,5,4,2,4,4,2,5,4,2,1,2,1,7,1,1,3,60
"251",3,3,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,3,28
"252",NA,3,4,5,5,1,3,3,2,2,3,2,1,1,1,2,2,2,3,46
"253",2,5,5,5,4,2,2,2,1,2,2,1,1,2,1,7,2,1,3,66
"254",NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,63
"255",4,2,2,2,2,5,2,4,2,3,3,2,2,1,2,4,2,2,4,38
"256",6,1,5,5,4,4,2,3,2,5,1,2,2,2,1,4,2,1,1,59
"257",6,5,5,5,4,1,4,4,3,5,2,2,1,1,1,7,1,1,3,64
"258",7,4,5,5,4,1,1,2,2,5,1,2,2,2,1,7,1,1,3,72
"259",1,5,5,5,4,1,5,5,1,5,1,2,1,1,1,6,1,1,3,68
"260",4,3,2,3,3,3,3,4,2,2,3,2,2,1,1,2,2,2,2,28
"261",2,4,5,5,4,1,4,5,1,1,4,2,1,2,1,3,1,3,3,27
"262",2,5,5,5,5,1,5,5,1,1,5,1,1,2,1,6,2,1,4,62
"263",5,4,5,5,4,1,3,3,2,5,1,2,1,2,1,8,1,2,3,70
"264",2,4,2,4,3,2,4,4,2,2,5,1,2,2,1,5,2,2,3,29
"265",NA,4,5,5,5,3,3,5,1,2,2,2,2,1,2,1,1,1,3,62
"266",NA,3,4,4,3,2,1,4,2,3,2,2,2,1,2,6,2,2,3,60
"267",6,4,5,5,4,5,2,1,5,5,2,2,1,1,1,7,2,1,3,69
"268",4,5,5,5,5,1,5,5,1,5,5,1,1,2,1,8,NA,1,5,58
"269",5,3,4,4,3,1,4,3,2,5,1,2,2,1,1,3,2,1,3,47
"270",4,2,4,5,4,1,2,4,2,2,1,2,2,1,2,6,2,1,4,53
"271",NA,5,5,4,4,1,5,2,1,1,2,2,1,1,1,6,1,2,5,72
"272",2,5,5,5,4,2,5,4,2,1,5,1,1,2,1,3,2,1,3,35
"273",7,3,5,5,4,1,5,5,1,1,3,2,2,1,1,6,2,2,2,62
"274",2,5,5,5,4,1,5,5,1,5,3,2,1,2,1,5,2,1,3,73
"275",7,5,5,5,3,1,1,1,1,1,1,2,2,2,1,3,1,1,2,28
"276",4,3,4,2,3,5,2,1,5,5,2,2,2,1,2,6,2,1,3,57
"277",5,5,5,5,5,2,4,3,3,2,2,2,2,2,1,8,1,2,1,29
"278",3,5,4,4,4,1,5,3,2,1,2,2,1,2,1,3,1,1,3,39
"279",2,1,4,5,1,1,4,4,1,2,3,2,2,1,1,7,2,2,4,55
"280",4,3,4,4,3,2,4,4,2,3,3,2,1,2,1,2,2,1,1,42
"281",7,2,5,5,4,1,1,3,4,5,1,2,2,1,2,3,2,1,5,67
"282",6,5,5,5,5,1,3,5,2,4,1,2,2,1,1,6,1,1,2,58
"283",6,5,5,5,5,3,4,4,3,4,2,2,2,1,1,6,1,2,3,67
"284",7,1,4,5,3,3,1,1,4,5,2,2,1,1,1,7,2,1,3,58
"285",2,5,5,5,4,2,4,4,2,3,4,1,1,2,1,6,1,1,2,25
"286",2,5,5,5,3,1,5,5,1,5,4,1,1,2,1,7,2,3,3,73
"287",NA,5,5,5,5,1,5,5,1,2,2,2,1,2,1,7,2,3,3,30
"288",7,1,2,4,4,2,2,3,4,4,2,2,2,1,2,3,1,2,2,38
"289",6,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,64
"290",3,2,4,4,3,1,4,5,1,3,4,2,1,2,1,6,2,1,2,40
"291",5,3,5,4,5,2,4,4,2,4,3,1,1,2,1,6,2,3,2,-9
"292",6,5,5,5,3,2,2,2,2,5,1,2,2,1,2,7,1,2,4,51
"293",NA,3,3,4,3,1,3,3,2,3,3,2,1,2,1,3,1,2,5,61
"294",2,5,5,5,5,1,5,5,1,1,2,2,2,1,2,3,1,1,3,59
"295",4,4,4,5,3,2,5,5,2,5,1,2,2,2,1,6,2,1,3,58
"296",6,4,4,4,4,2,4,3,3,2,2,2,2,1,2,2,1,3,4,53
"297",4,2,5,5,4,1,2,2,2,2,2,2,2,2,1,3,2,1,4,75
"298",3,2,3,4,4,2,4,4,2,2,2,2,1,2,1,6,2,2,2,37
"299",6,1,4,4,3,2,2,3,3,3,1,2,1,1,2,6,1,2,3,77
"300",NA,NA,NA,NA,NA,3,3,3,3,3,3,2,2,1,2,1,2,3,NA,-9
"301",7,3,5,5,3,1,3,5,3,4,2,2,2,1,1,5,2,1,1,68
"302",NA,4,5,4,5,1,2,2,2,3,2,2,2,1,1,6,1,2,3,66
"303",NA,3,2,5,5,1,1,2,1,1,1,2,2,1,1,3,2,2,4,43
"304",4,4,5,4,4,2,3,3,3,2,2,2,1,2,1,3,1,2,3,72
"305",5,1,4,5,5,1,5,3,1,1,2,2,2,2,1,7,2,2,2,50
"306",2,5,5,5,5,1,5,5,1,5,5,1,1,2,1,7,2,1,5,58
"307",3,5,5,5,5,1,3,5,5,1,3,1,1,2,2,7,1,2,3,28
"308",4,4,4,4,4,1,5,5,1,2,1,2,1,1,1,3,2,2,3,59
"309",7,5,5,5,5,3,2,3,3,5,1,2,2,2,1,2,2,1,3,72
"310",3,4,5,5,4,2,5,5,2,1,5,1,1,2,1,6,2,2,3,29
"311",2,4,3,4,4,3,3,3,3,3,3,2,2,1,2,6,1,1,3,60
"312",4,5,5,5,5,2,2,5,5,5,1,2,2,1,1,3,1,1,3,66
"313",2,5,5,5,5,1,5,4,1,5,2,1,1,2,1,6,1,1,4,56
